weight_index,obj0,obj1,obj2,weight
6,0.20879999950528144,-0.01440000057220459,-2.1351820093393328,"[0.35181512905761214, 0.1612234841413615, 0.48696138680102646]"
14,0.1695999990403652,0.0,-2.725962005853653,"[0.4731551018766023, 0.03187370129831294, 0.4949711968250848]"
16,0.13119999930262566,0.0,-1.9032300055027007,"[0.38159643518939035, 0.1970617000376518, 0.42134186477295776]"
21,0.13839999839663505,0.0,-2.4949660158157347,"[0.5859886548916939, 0.23248705193200364, 0.18152429317630236]"
38,0.20959999769926072,-0.02880000114440918,-1.8870679944753648,"[0.12701849548711105, 0.21008647483546827, 0.6628950296774206]"
