weight_index,episode_index,w0,w1,w2,efficacy,adr_risk,tolerability,actions
0,0,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.0,-0.2879999876022339,-6.382800102233887,[0]
0,1,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.0,-0.2879999876022339,-6.382800102233887,[0]
0,2,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.0,-0.5120000243186951,-10.0,[0]
0,3,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.1599999964237213,-0.2879999876022339,-7.211699962615967,[0]
0,4,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.0,-0.7200000286102295,-9.189000129699707,[0]
0,5,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.0,-0.5600000023841858,-8.14680004119873,[0]
0,6,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.0,-0.5120000243186951,-6.723899841308594,[0]
0,7,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.0,-0.5600000023841858,-9.413100242614746,[0]
0,8,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.0,-0.800000011920929,-10.0,[0]
0,9,0.33742523193359375,0.3278789520263672,0.33469581604003906,0.07999999821186066,-0.47999998927116394,-10.0,[0]
1,0,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.0,-0.6399999856948853,-7.4710001945495605,[1]
1,1,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.0,-0.46000000834465027,-10.0,[1]
1,2,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.07999999821186066,-0.6000000238418579,-10.0,[1]
1,3,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.0,-0.699999988079071,-9.052000045776367,[1]
1,4,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.0,-0.36000001430511475,-7.0920000076293945,[1]
1,5,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.0,-2.0999999046325684,-10.0,[1]
1,6,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.11999999731779099,-0.20000000298023224,-5.130000114440918,[1]
1,7,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.36000001430511475,-0.8799999952316284,-7.585000038146973,[1]
1,8,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.0,-1.7200000286102295,-10.0,[1]
1,9,0.1538267582654953,0.04752200096845627,0.7986512184143066,0.20000000298023224,-0.8199999928474426,-4.809999942779541,[1]
2,0,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.0,-0.5600000023841858,-8.14680004119873,[0]
2,1,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.3199999928474426,-0.23999999463558197,-6.672599792480469,[0]
2,2,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.0,-0.8640000224113464,-10.0,[0]
2,3,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.3199999928474426,-0.23999999463558197,-6.672599792480469,[0]
2,4,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.36000001430511475,-0.7039999961853027,-6.826499938964844,[0]
2,5,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.1599999964237213,-0.2879999876022339,-7.211699962615967,[0]
2,6,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.3199999928474426,-0.23999999463558197,-6.672599792480469,[0]
2,7,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.0,-0.8159999847412109,-10.0,[0]
2,8,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.0,-0.5600000023841858,-9.413100242614746,[0]
2,9,0.3056129217147827,0.6771998405456543,0.01718723773956299,0.47999998927116394,-0.19200000166893005,-5.379300117492676,[0]
3,0,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.0,-0.699999988079071,-9.052000045776367,[1]
3,1,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.0,-0.36000001430511475,-7.0920000076293945,[1]
3,2,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.07999999821186066,-0.6000000238418579,-10.0,[1]
3,3,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.0,-0.6800000071525574,-10.0,[1]
3,4,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.3199999928474426,-0.30000001192092896,-7.414000034332275,[1]
3,5,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.0,-2.4200000762939453,-10.0,[1]
3,6,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.0,-0.7400000095367432,-10.0,[1]
3,7,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.0,-0.9200000166893005,-10.0,[1]
3,8,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.07999999821186066,-0.6000000238418579,-10.0,[1]
3,9,0.47441115975379944,0.03192912042140961,0.49365973472595215,0.11999999731779099,-0.1599999964237213,-4.617000102996826,[0]
4,0,0.5168437957763672,0.11549761891365051,0.3676586151123047,0.4000000059604645,-0.5799999833106995,-8.529000282287598,[1]
4,1,0.5168437957763672,0.11549761891365051,0.3676586151123047,0.0,-1.0,-10.0,[1]
4,2,0.5168437957763672,0.11549761891365051,0.3676586151123047,0.0,-0.9200000166893005,-10.0,[1]
4,3,0.5168437957763672,0.11549761891365051,0.3676586151123047,0.0,-1.7200000286102295,-10.0,[1]
4,4,0.5168437957763672,0.11549761891365051,0.3676586151123047,0.47999998927116394,-0.23999999463558197,-5.9770002365112305,[1]
4,5,0.5168437957763672,0.11549761891365051,0.3676586151123047,0.0,-0.2879999876022339,-6.382800102233887,[0]
4,6,0.5168437957763672,0.11549761891365051,0.3676586151123047,0.0,-2.4200000762939453,-10.0,[1]
4,7,0.5168437957763672,0.11549761891365051,0.3676586151123047,0.0,-0.6399999856948853,-7.4710001945495605,[1]
4,8,0.5168437957763672,0.11549761891365051,0.3676586151123047,0.4000000059604645,-0.5799999833106995,-8.529000282287598,[1]
